,bbox,segm
AP,5.268267870138514,4.947513938457108
AP50,7.416115519627166,7.123868299443919
AP75,6.146921577952357,5.2380768469994745
AP-Aluminium foil,0.0,0.0
AP-Battery,,
AP-Blister pack,0.0,0.0
AP-Bottle,28.997155527480572,28.478900180244565
AP-Bottle cap,21.743307329149673,20.159159903196183
AP-Broken glass,0.0,0.0
AP-Can,13.105496639889552,14.054183613850105
AP-Carton,11.867063629439867,10.657781162731657
AP-Cigarette,5.720662806595211,4.141635089055877
AP-Cup,22.720950832951235,23.81299798483513
AP-Food waste,0.0,0.0
AP-Glass jar,0.0,0.0
AP-Lid,0.0,0.0
AP-Other plastic,1.089108910891089,0.828082808280828
AP-Paper,0.0,0.0
AP-Paper bag,0.0,0.0
AP-Plastic bag & wrapper,21.364637618137063,21.953043029748066
AP-Plastic container,0.0,0.0
AP-Plastic glooves,0.0,0.0
AP-Plastic utensils,0.0,0.0
AP-Pop tab,0.0,0.0
AP-Rope & strings,0.0,0.0
AP-Scrap metal,0.0,0.0
AP-Shoe,0.0,0.0
AP-Squeezable tube,0.0,0.0
AP-Straw,15.634849199205636,9.497092566399495
AP-Styrofoam piece,0.0,0.0
AP-Unlabeled litter,0.0,0.0
